,ObsTimeMonth,ObsTimeDay,StnPres,Temperature,T Max,T Max Time,T Min,T Min Time,RH,WS,WD,Precp,SunShine,latitude,altitude
38,2,8,1015.5,20.2,27.1,2010-02-08 13:41,16.1,2010-02-08 05:33,80,1.0,60,0.0,6.1,24.9976,9.7
39,2,9,1014.6,20.7,27.3,2010-02-09 13:22,16.8,2010-02-09 06:56,82,0.6,250,0.0,4.6,24.9976,9.7
40,2,10,1012.9,22.7,30.7,2010-02-10 14:23,17.4,2010-02-10 06:51,78,0.6,30,0.0,9.2,24.9976,9.7
41,2,11,1014.2,23.1,30.5,2010-02-11 12:55,15.9,2010-02-11 23:07,75,2.0,270,0.0,7.9,24.9976,9.7
42,2,12,1023.3,12.7,16.0,2010-02-12 00:01,10.9,2010-02-12 18:08,78,4.6,80,0.6,0.0,24.9976,9.7
43,2,13,1021.2,13.0,15.6,2010-02-13 23:22,11.4,2010-02-13 06:24,85,4.0,80,24.5,0.0,24.9976,9.7
44,2,14,1014.9,16.6,22.5,2010-02-14 12:53,13.5,2010-02-14 04:19,84,0.8,360,T,2.5,24.9976,9.7
45,2,15,1018.8,14.2,16.9,2010-02-15 11:58,12.8,2010-02-15 23:21,85,1.4,80,15.5,0.2,24.9976,9.7
46,2,16,1022.4,11.8,12.8,2010-02-16 00:01,11.2,2010-02-16 06:14,87,2.5,90,43.8,0.0,24.9976,9.7
47,2,17,1021.4,11.9,13.0,2010-02-17 11:39,10.8,2010-02-17 23:57,88,1.3,80,54.0,0.0,24.9976,9.7
48,2,18,1023.2,10.5,11.4,2010-02-18 06:36,9.6,2010-02-18 23:47,88,1.4,90,36.0,0.0,24.9976,9.7
49,2,19,1021.1,10.5,11.3,2010-02-19 14:26,9.6,2010-02-19 00:01,89,1.8,80,53.5,0.0,24.9976,9.7
50,2,20,1018.4,13.6,16.7,2010-02-20 12:00,10.6,2010-02-20 00:01,83,2.0,60,2.0,0.2,24.9976,9.7
51,2,21,1016.1,15.4,22.2,2010-02-21 12:44,11.2,2010-02-21 05:41,83,0.8,290,0.0,3.1,24.9976,9.7
52,2,22,1014.8,16.0,19.7,2010-02-22 13:39,13.5,2010-02-22 00:55,85,0.5,250,0.3,0.5,24.9976,9.7
53,2,23,1013.1,18.2,25.8,2010-02-23 14:22,12.4,2010-02-23 04:16,78,0.7,80,0.0,8.5,24.9976,9.7
54,2,24,1011.1,20.4,28.4,2010-02-24 13:34,14.0,2010-02-24 05:54,73,0.7,80,0.0,8.8,24.9976,9.7
55,2,25,1009.3,21.8,28.5,2010-02-25 11:25,17.1,2010-02-25 06:33,75,0.3,100,0.0,3.3,24.9976,9.7
56,2,26,1008.6,23.9,31.9,2010-02-26 13:17,17.9,2010-02-26 05:22,76,1.0,300,0.0,9.1,24.9976,9.7
57,2,27,1011.5,21.8,23.5,2010-02-27 12:49,19.7,2010-02-27 14:43,83,0.5,310,T,0.0,24.9976,9.7
58,2,28,1014.5,23.1,28.0,2010-02-28 14:04,19.5,2010-02-28 06:27,76,2.6,60,0.0,9.8,24.9976,9.7
59,3,1,1012.3,24.3,29.7,2010-03-01 13:24,19.7,2010-03-01 05:31,76,0.9,80,0.0,5.4,24.9976,9.7
60,3,2,1012.7,20.7,23.1,2010-03-02 00:02,17.5,2010-03-02 11:56,82,1.5,70,2.0,2.1,24.9976,9.7
61,3,3,1012.7,21.7,28.3,2010-03-03 12:01,19.0,2010-03-03 06:41,79,1.1,80,0.0,4.7,24.9976,9.7
62,3,4,1011.5,23.0,28.5,2010-03-04 12:05,18.7,2010-03-04 05:56,80,0.5,270,0.0,4.9,24.9976,9.7
63,3,5,1011.3,23.7,27.2,2010-03-05 10:25,21.0,2010-03-05 06:27,79,0.9,250,0.0,5.4,24.9976,9.7
64,3,6,1013.6,22.8,29.0,2010-03-06 12:26,17.3,2010-03-06 23:23,79,1.5,90,T,6.6,24.9976,9.7
65,3,7,1019.0,14.9,17.4,2010-03-07 00:12,13.6,2010-03-07 18:23,79,4.2,80,T,0.0,24.9976,9.7
66,3,8,1017.7,16.0,17.5,2010-03-08 15:01,14.4,2010-03-08 00:01,84,1.7,90,3.3,0.0,24.9976,9.7
67,3,9,1023.7,11.8,15.4,2010-03-09 00:01,10.0,2010-03-09 16:52,82,2.0,10,29.0,0.0,24.9976,9.7
68,3,10,1028.2,9.3,10.9,2010-03-10 13:03,8.2,2010-03-10 18:03,62,3.3,90,0.0,4.2,24.9976,9.7
69,3,11,1023.0,15.3,23.0,2010-03-11 13:36,8.1,2010-03-11 02:17,64,2.0,80,0.0,9.8,24.9976,9.7
70,3,12,1019.6,19.3,26.6,2010-03-12 13:10,11.3,2010-03-12 05:39,68,1.1,90,0.0,8.3,24.9976,9.7
71,3,13,1016.8,18.7,20.7,2010-03-13 23:49,17.0,2010-03-13 02:22,85,0.6,350,25.5,0.0,24.9976,9.7
72,3,14,1013.6,23.4,29.9,2010-03-14 13:07,18.3,2010-03-14 05:15,80,0.5,340,0.0,6.8,24.9976,9.7
73,3,15,1014.2,22.7,29.8,2010-03-15 11:57,16.8,2010-03-15 23:57,82,1.4,80,0.1,4.5,24.9976,9.7
74,3,16,1022.4,15.3,17.0,2010-03-16 00:31,13.9,2010-03-16 09:41,75,4.9,80,0.0,0.0,24.9976,9.7
75,3,17,1020.8,17.8,20.8,2010-03-17 14:01,15.7,2010-03-17 02:11,78,1.7,60,0.0,0.0,24.9976,9.7
76,3,18,1018.9,20.5,26.7,2010-03-18 12:39,17.1,2010-03-18 04:33,73,1.8,70,0.0,10.0,24.9976,9.7
77,3,19,1014.5,21.7,29.5,2010-03-19 12:34,14.6,2010-03-19 04:43,73,0.6,300,0.0,10.3,24.9976,9.7
78,3,20,1011.5,23.6,29.4,2010-03-20 12:13,18.7,2010-03-20 05:59,78,0.7,290,0.0,5.3,24.9976,9.7
79,3,21,1014.4,21.3,23.6,2010-03-21 00:01,20.1,2010-03-21 09:23,70,4.6,70,0.0,2.3,24.9976,9.7
80,3,22,1012.0,23.9,29.9,2010-03-22 12:05,20.6,2010-03-22 23:44,72,1.3,70,0.0,4.1,24.9976,9.7
81,3,23,1009.7,24.9,31.3,2010-03-23 12:51,19.4,2010-03-23 05:44,73,0.6,360,0.0,8.4,24.9976,9.7
82,3,24,1010.2,22.4,27.1,2010-03-24 11:45,18.5,2010-03-24 23:59,79,1.4,80,0.2,3.4,24.9976,9.7
83,3,25,1019.3,14.2,18.6,2010-03-25 00:01,12.5,2010-03-25 15:13,76,3.0,360,3.0,0.0,24.9976,9.7
84,3,26,1022.6,15.0,15.9,2010-03-26 14:25,14.0,2010-03-26 00:01,60,4.2,80,0.0,0.0,24.9976,9.7
85,3,27,1019.9,18.7,24.6,2010-03-27 12:58,13.2,2010-03-27 06:13,66,3.3,70,0.0,7.0,24.9976,9.7
86,3,28,1021.3,17.9,21.5,2010-03-28 13:23,15.6,2010-03-28 22:57,66,3.2,90,0.1,2.8,24.9976,9.7
87,3,29,1020.6,19.8,24.7,2010-03-29 12:50,15.1,2010-03-29 05:28,60,4.6,80,0.0,11.1,24.9976,9.7
88,3,30,1017.5,22.7,27.7,2010-03-30 12:48,19.4,2010-03-30 00:01,60,2.7,80,0.0,10.5,24.9976,9.7
89,3,31,1015.4,22.6,28.6,2010-03-31 12:31,17.3,2010-03-31 04:35,66,0.8,210,0.0,9.6,24.9976,9.7
90,4,1,1012.0,23.5,29.9,2010-04-01 12:04,17.4,2010-04-01 05:56,72,1.0,270,0.0,8.0,24.9976,9.7
91,4,2,1017.3,17.3,24.1,2010-04-02 00:29,14.5,2010-04-02 20:13,81,4.0,80,5.5,0.0,24.9976,9.7
92,4,3,1017.6,17.8,19.4,2010-04-03 19:46,15.7,2010-04-03 00:01,85,3.2,70,2.5,0.0,24.9976,9.7
93,4,4,1013.8,18.9,22.1,2010-04-04 10:04,17.9,2010-04-04 16:57,86,0.5,250,1.0,0.6,24.9976,9.7
94,4,5,1012.0,20.5,24.2,2010-04-05 12:12,17.8,2010-04-05 03:15,82,1.1,70,4.5,1.0,24.9976,9.7
95,4,6,1011.9,20.2,22.0,2010-04-06 10:45,17.7,2010-04-06 23:59,88,0.3,250,23.9,0.0,24.9976,9.7
96,4,7,1019.4,16.7,17.8,2010-04-07 00:06,16.2,2010-04-07 08:00,76,3.5,80,8.5,0.0,24.9976,9.7
97,4,8,1014.2,17.5,20.3,2010-04-08 13:24,15.7,2010-04-08 05:45,82,2.3,80,30.5,0.0,24.9976,9.7
98,4,9,1012.6,17.4,20.2,2010-04-09 14:10,15.3,2010-04-09 23:48,84,1.2,240,0.5,0.0,24.9976,9.7
99,4,10,1011.3,20.8,28.3,2010-04-10 14:02,14.7,2010-04-10 04:10,79,0.4,10,0.0,9.2,24.9976,9.7
100,4,11,1008.5,22.2,26.8,2010-04-11 15:39,18.6,2010-04-11 04:43,80,0.2,80,0.0,1.1,24.9976,9.7
101,4,12,1008.6,25.5,32.4,2010-04-12 11:58,18.3,2010-04-12 05:29,72,2.1,270,0.0,8.5,24.9976,9.7
102,4,13,1017.3,19.6,23.9,2010-04-13 00:01,16.4,2010-04-13 19:39,80,4.9,80,1.0,1.0,24.9976,9.7
103,4,14,1017.3,19.8,24.0,2010-04-14 15:31,15.6,2010-04-14 04:05,79,4.1,80,0.1,6.7,24.9976,9.7
104,4,15,1018.9,15.8,19.3,2010-04-15 00:01,13.6,2010-04-15 18:26,82,2.3,90,7.8,0.0,24.9976,9.7
105,4,16,1020.3,15.8,17.9,2010-04-16 10:22,13.8,2010-04-16 00:06,78,3.6,80,1.0,0.0,24.9976,9.7
106,4,17,1018.3,21.4,25.2,2010-04-17 13:07,17.0,2010-04-17 00:12,70,3.6,70,0.0,3.4,24.9976,9.7
107,4,18,1015.6,21.1,24.3,2010-04-18 11:23,19.2,2010-04-18 05:52,86,0.3,20,6.5,0.2,24.9976,9.7
108,4,19,1011.4,24.6,31.4,2010-04-19 12:44,20.3,2010-04-19 04:54,77,0.5,290,0.0,3.3,24.9976,9.7
109,4,20,1010.0,24.7,30.9,2010-04-20 13:04,21.1,2010-04-20 03:22,81,0.3,330,1.0,2.9,24.9976,9.7
110,4,21,1009.1,26.4,32.8,2010-04-21 11:54,21.2,2010-04-21 04:41,76,0.7,290,0.0,7.5,24.9976,9.7
111,4,22,1010.3,25.0,32.5,2010-04-22 12:52,19.5,2010-04-22 23:50,78,1.6,100,0.6,6.2,24.9976,9.7
112,4,23,1017.6,17.1,19.6,2010-04-23 00:01,15.8,2010-04-23 16:23,81,2.3,90,14.0,0.0,24.9976,9.7
113,4,24,1019.0,17.4,18.3,2010-04-24 03:40,15.6,2010-04-24 08:40,68,3.7,90,2.4,0.0,24.9976,9.7
114,4,25,1016.4,21.8,25.9,2010-04-25 12:17,17.9,2010-04-25 00:01,68,2.8,60,0.0,1.3,24.9976,9.7
115,4,26,1015.1,22.1,29.7,2010-04-26 12:46,19.3,2010-04-26 04:43,74,0.8,290,1.0,3.6,24.9976,9.7
116,4,27,1015.2,19.9,22.4,2010-04-27 23:54,17.3,2010-04-27 06:07,71,2.3,80,9.0,0.0,24.9976,9.7
117,4,28,1012.8,20.5,23.4,2010-04-28 16:44,16.5,2010-04-28 07:54,75,0.7,240,6.0,0.0,24.9976,9.7
118,4,29,1015.7,22.3,25.7,2010-04-29 14:39,18.7,2010-04-29 00:59,71,3.4,70,0.0,5.4,24.9976,9.7
119,4,30,1015.5,23.0,29.4,2010-04-30 14:07,17.6,2010-04-30 04:11,57,2.0,70,2.2,6.8,24.9976,9.7
120,5,1,1013.8,24.1,30.8,2010-05-01 12:05,17.2,2010-05-01 05:20,64,1.9,80,0.0,7.9,24.9976,9.7
121,5,2,1011.6,25.1,30.6,2010-05-02 13:46,19.8,2010-05-02 04:20,69,1.7,210,0.0,6.1,24.9976,9.7
122,5,3,1010.5,26.1,31.4,2010-05-03 12:18,19.5,2010-05-03 05:23,67,2.7,90,0.0,10.7,24.9976,9.7
123,5,4,1008.6,26.5,32.0,2010-05-04 11:34,21.0,2010-05-04 05:10,66,1.0,80,0.0,6.5,24.9976,9.7
124,5,5,1007.2,26.7,32.7,2010-05-05 12:50,22.0,2010-05-05 05:42,72,0.6,310,0.1,6.6,24.9976,9.7
125,5,6,1007.2,25.4,28.5,2010-05-06 11:52,24.2,2010-05-06 23:59,84,0.3,20,16.0,0.0,24.9976,9.7
126,5,7,1007.1,23.2,26.6,2010-05-07 08:40,21.5,2010-05-07 23:00,86,1.2,90,9.0,0.2,24.9976,9.7
127,5,8,1006.2,23.6,25.5,2010-05-08 11:28,21.5,2010-05-08 00:02,80,1.6,80,0.0,0.1,24.9976,9.7
128,5,9,1004.4,23.9,26.8,2010-05-09 16:46,21.4,2010-05-09 07:19,87,0.3,290,1.6,0.4,24.9976,9.7
129,5,10,1008.1,21.3,24.5,2010-05-10 00:54,18.5,2010-05-10 22:43,83,2.4,90,18.7,0.0,24.9976,9.7
130,5,11,1011.6,21.2,22.8,2010-05-11 13:05,18.7,2010-05-11 03:36,79,2.8,80,5.7,0.0,24.9976,9.7
131,5,12,1011.7,23.3,25.9,2010-05-12 14:19,21.2,2010-05-12 07:05,73,3.5,60,0.7,0.4,24.9976,9.7
132,5,13,1009.8,24.4,27.7,2010-05-13 11:56,21.2,2010-05-13 05:25,80,0.5,210,1.0,0.0,24.9976,9.7
133,5,14,1009.4,22.7,23.6,2010-05-14 04:02,21.6,2010-05-14 23:34,86,0.7,290,T,0.0,24.9976,9.7
134,5,15,1008.8,23.3,28.4,2010-05-15 12:03,21.5,2010-05-15 03:15,84,1.3,300,T,0.6,24.9976,9.7
135,5,16,1009.9,25.0,30.4,2010-05-16 13:25,21.5,2010-05-16 03:41,80,1.6,230,0.0,3.3,24.9976,9.7
136,5,17,1009.4,27.2,32.3,2010-05-17 11:59,22.8,2010-05-17 05:33,77,0.9,70,0.0,8.3,24.9976,9.7
137,5,18,1008.0,28.2,33.2,2010-05-18 11:25,23.9,2010-05-18 04:01,75,0.9,310,0.0,6.5,24.9976,9.7
138,5,19,1008.2,28.8,33.6,2010-05-19 11:56,25.1,2010-05-19 03:28,72,0.9,300,0.0,8.2,24.9976,9.7
139,5,20,1009.4,27.5,32.9,2010-05-20 11:46,24.2,2010-05-20 05:06,76,1.3,300,0.5,4.9,24.9976,9.7
140,5,21,1008.3,28.3,32.9,2010-05-21 10:28,24.3,2010-05-21 04:30,75,0.8,310,0.0,6.2,24.9976,9.7
141,5,22,1003.2,29.1,34.2,2010-05-22 13:18,24.7,2010-05-22 04:49,71,1.3,260,0.0,5.2,24.9976,9.7
142,5,23,1000.4,25.1,28.6,2010-05-23 00:01,21.9,2010-05-23 23:02,83,0.5,70,43.5,0.0,24.9976,9.7
143,5,24,1006.0,24.4,27.6,2010-05-24 13:21,21.8,2010-05-24 03:11,71,2.8,90,T,5.4,24.9976,9.7
144,5,25,1007.1,27.1,33.1,2010-05-25 13:53,21.8,2010-05-25 04:00,67,1.8,70,0.0,11.9,24.9976,9.7
145,5,26,1008.1,27.5,32.1,2010-05-26 15:04,21.9,2010-05-26 04:56,62,2.7,80,0.0,8.0,24.9976,9.7
146,5,27,1009.4,25.4,27.8,2010-05-27 10:41,23.1,2010-05-27 14:06,69,2.5,60,8.3,0.0,24.9976,9.7
147,5,28,1007.3,27.2,32.5,2010-05-28 12:45,24.6,2010-05-28 01:48,78,1.5,60,5.0,3.1,24.9976,9.7
148,5,29,1005.7,24.1,25.8,2010-05-29 00:41,22.2,2010-05-29 22:11,87,0.7,100,45.0,0.0,24.9976,9.7
149,5,30,1006.5,21.5,23.8,2010-05-30 11:17,19.4,2010-05-30 18:50,85,2.0,80,16.0,0.0,24.9976,9.7
150,5,31,1007.5,23.7,29.3,2010-05-31 12:38,20.2,2010-05-31 23:59,69,2.4,80,0.0,12.3,24.9976,9.7
151,6,1,1009.0,23.2,28.1,2010-06-01 11:12,19.0,2010-06-01 04:12,68,3.8,70,0.0,9.4,24.9976,9.7
152,6,2,1010.5,21.8,23.5,2010-06-02 08:54,19.6,2010-06-02 21:45,77,3.8,70,11.5,0.0,24.9976,9.7
153,6,3,1008.7,22.5,24.1,2010-06-03 16:40,19.9,2010-06-03 00:04,85,2.3,70,34.5,0.0,24.9976,9.7
154,6,4,1007.0,23.7,28.1,2010-06-04 09:47,21.6,2010-06-04 20:13,82,2.1,80,6.0,2.0,24.9976,9.7
155,6,5,1008.0,22.0,23.8,2010-06-05 12:29,21.2,2010-06-05 19:38,87,0.7,90,7.0,0.0,24.9976,9.7
156,6,6,1008.7,22.5,24.5,2010-06-06 12:10,21.2,2010-06-06 01:58,83,1.4,90,0.6,0.0,24.9976,9.7
157,6,7,1009.9,24.6,29.5,2010-06-07 13:21,20.6,2010-06-07 04:00,74,2.4,80,0.0,11.1,24.9976,9.7
158,6,8,1009.3,25.4,30.7,2010-06-08 14:04,20.7,2010-06-08 05:34,73,2.6,80,0.0,12.3,24.9976,9.7
159,6,9,1008.0,26.5,32.9,2010-06-09 12:37,22.5,2010-06-09 05:18,75,0.7,10,0.8,5.9,24.9976,9.7
160,6,10,1007.2,25.6,29.3,2010-06-10 14:48,24.0,2010-06-10 03:27,85,0.2,330,47.0,0.1,24.9976,9.7
161,6,11,1007.4,23.8,24.9,2010-06-11 09:10,22.5,2010-06-11 23:55,87,0.5,230,16.0,0.0,24.9976,9.7
162,6,12,1007.5,23.0,24.5,2010-06-12 17:23,21.3,2010-06-12 06:08,87,0.2,80,10.0,0.0,24.9976,9.7
163,6,13,1006.6,24.6,27.0,2010-06-13 12:13,23.2,2010-06-13 05:05,89,0.1,60,44.0,0.2,24.9976,9.7
164,6,14,1005.5,25.1,27.2,2010-06-14 16:05,23.8,2010-06-14 03:22,88,0.2,20,20.0,0.6,24.9976,9.7
165,6,15,1005.1,25.3,27.3,2010-06-15 15:19,23.5,2010-06-15 04:48,85,0.2,100,3.0,0.0,24.9976,9.7
166,6,16,1005.9,27.0,32.2,2010-06-16 15:07,24.0,2010-06-16 04:59,81,0.2,310,0.2,1.2,24.9976,9.7
167,6,17,1006.0,28.0,32.2,2010-06-17 13:48,24.6,2010-06-17 07:19,79,0.4,240,3.5,1.1,24.9976,9.7
168,6,18,1005.6,29.6,33.3,2010-06-18 13:20,25.6,2010-06-18 05:32,72,2.2,270,0.0,3.6,24.9976,9.7
169,6,19,1006.5,29.3,35.0,2010-06-19 13:17,24.5,2010-06-19 05:02,72,1.2,270,0.0,5.6,24.9976,9.7
170,6,20,1006.0,29.5,33.7,2010-06-20 11:59,25.6,2010-06-20 04:51,73,1.2,190,0.0,5.0,24.9976,9.7
171,6,21,1006.8,27.6,34.2,2010-06-21 12:53,23.6,2010-06-21 18:23,79,1.3,240,75.5,4.7,24.9976,9.7
172,6,22,1008.0,27.5,34.0,2010-06-22 10:54,23.8,2010-06-22 04:40,79,0.9,280,4.0,5.9,24.9976,9.7
173,6,23,1006.8,27.1,32.4,2010-06-23 12:37,24.8,2010-06-23 05:05,81,0.8,50,5.0,0.6,24.9976,9.7
174,6,24,1003.1,27.7,32.7,2010-06-24 10:10,25.0,2010-06-24 02:27,79,1.2,250,2.5,2.4,24.9976,9.7
175,6,25,1001.8,26.2,27.9,2010-06-25 17:20,25.0,2010-06-25 04:01,83,0.8,80,5.5,0.0,24.9976,9.7
176,6,26,1005.5,27.6,33.8,2010-06-26 12:26,24.0,2010-06-26 05:14,79,1.1,90,45.0,2.7,24.9976,9.7
177,6,27,1007.7,27.6,35.3,2010-06-27 12:30,24.5,2010-06-27 04:39,81,1.1,10,40.0,7.1,24.9976,9.7
178,6,28,1007.6,28.3,34.7,2010-06-28 11:36,25.1,2010-06-28 05:27,80,1.1,210,12.0,5.7,24.9976,9.7
179,6,29,1008.2,28.3,31.6,2010-06-29 10:07,25.3,2010-06-29 05:06,81,1.2,230,3.5,2.9,24.9976,9.7
180,6,30,1007.3,29.7,34.3,2010-06-30 11:21,25.7,2010-06-30 04:31,77,1.1,200,0.0,6.6,24.9976,9.7
181,7,1,1005.9,29.9,33.8,2010-07-01 12:53,26.3,2010-07-01 04:43,78,1.8,260,0.0,4.9,24.9976,9.7
182,7,2,1004.2,31.0,35.8,2010-07-02 12:48,26.3,2010-07-02 05:14,73,1.9,250,0.0,11.0,24.9976,9.7
183,7,3,1004.2,32.0,38.2,2010-07-03 13:30,26.6,2010-07-03 05:11,66,2.5,250,0.0,10.7,24.9976,9.7
184,7,4,1004.1,31.5,36.7,2010-07-04 13:10,26.2,2010-07-04 04:45,67,3.0,250,0.0,13.1,24.9976,9.7
185,7,5,1002.5,32.0,37.1,2010-07-05 13:19,26.9,2010-07-05 05:27,67,2.9,250,0.0,12.7,24.9976,9.7
186,7,6,1003.2,32.0,36.7,2010-07-06 12:51,27.6,2010-07-06 05:42,64,2.9,250,0.0,11.1,24.9976,9.7
187,7,7,1006.0,31.3,36.1,2010-07-07 13:40,27.2,2010-07-07 04:52,67,2.5,200,0.0,9.6,24.9976,9.7
188,7,8,1006.6,30.3,35.2,2010-07-08 12:20,27.4,2010-07-08 05:27,70,1.5,270,0.0,2.4,24.9976,9.7
189,7,9,1006.7,30.3,35.3,2010-07-09 13:35,26.5,2010-07-09 05:39,71,1.7,220,0.0,4.4,24.9976,9.7
190,7,10,1007.7,31.0,35.8,2010-07-10 13:12,27.4,2010-07-10 04:42,69,1.8,250,0.0,7.9,24.9976,9.7
191,7,11,1008.0,31.0,35.9,2010-07-11 11:47,26.7,2010-07-11 04:21,67,2.3,260,0.0,8.7,24.9976,9.7
192,7,12,1008.3,28.5,34.8,2010-07-12 11:19,26.0,2010-07-12 14:22,77,1.4,190,45.0,5.4,24.9976,9.7
193,7,13,1008.5,28.5,33.4,2010-07-13 13:24,25.5,2010-07-13 04:17,78,1.1,200,1.5,4.3,24.9976,9.7
194,7,14,1008.9,29.0,34.9,2010-07-14 11:47,26.0,2010-07-14 05:29,73,1.2,180,T,5.5,24.9976,9.7
195,7,15,1008.3,28.5,34.0,2010-07-15 10:57,25.0,2010-07-15 05:20,74,1.4,200,5.5,7.3,24.9976,9.7
196,7,16,1009.1,29.2,34.1,2010-07-16 14:16,24.4,2010-07-16 04:32,70,1.6,350,0.0,7.6,24.9976,9.7
197,7,17,1010.3,29.8,34.7,2010-07-17 11:23,26.3,2010-07-17 03:13,68,1.6,200,0.0,5.9,24.9976,9.7
