序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
89,臺北,2017/12/29,07:12:00,"1,019.30",18.6,87,西南西,0.6,0,0
90,臺北,2017/12/29,06:12:00,"1,018.40",18.7,89,南,0.5,0,0
91,臺北,2017/12/29,05:12:00,"1,017.50",18.5,89,南,0.3,0,-
92,臺北,2017/12/29,04:12:00,"1,017",18.6,90,東南,1.3,0,-
93,臺北,2017/12/29,03:12:00,"1,016.90",18.3,92,東,0.8,0,-
94,臺北,2017/12/29,02:12:00,"1,016.90",18.4,93,北,0.9,0,-
95,臺北,2017/12/29,01:12:00,"1,016.90",18.7,90,東,1.9,0,-
96,臺北,2017/12/29,00:12:00,"1,018.50",18.9,87,東北,4.6,0,-
97,臺北,2017/12/28,23:12:00,"1,017.30",19.9,80,東北,2,0,-
98,臺北,2017/12/28,22:12:00,"1,017.20",20.3,75,東北,3.6,0,-
99,臺北,2017/12/28,21:12:00,"1,016.80",20.8,73,東北,2.7,0,-
100,臺北,2017/12/28,20:12:00,"1,016.70",20.9,72,東北,2.6,0,-
101,臺北,2017/12/28,19:12:00,"1,016.10",21.5,65,東北東,2.6,0,0
102,臺北,2017/12/28,18:12:00,"1,015.60",21.7,63,東北東,2.8,0,0
103,臺北,2017/12/28,17:12:00,"1,015.40",21.9,62,東北,2.9,0,0
104,臺北,2017/12/28,16:12:00,"1,014.70",22.2,60,東北東,2.6,0,0
105,臺北,2017/12/28,15:12:00,"1,014.40",22.1,61,東,3.1,0,0
106,臺北,2017/12/28,14:12:00,"1,014.40",22.8,59,東,3.4,0,0
107,臺北,2017/12/28,13:12:00,"1,014.60",23.4,58,東,3.4,0,0
108,臺北,2017/12/28,12:12:00,"1,015.60",23.2,58,東北東,4.7,0,0.6
109,臺北,2017/12/28,11:12:00,"1,016.10",22.9,60,東北東,4.9,0,0.4
110,臺北,2017/12/28,10:12:00,"1,017.10",22.2,63,東,3,0,0.2
111,臺北,2017/12/28,09:12:00,"1,018.20",21.2,66,東北,4.9,0,1
112,臺北,2017/12/28,08:12:00,"1,018.20",19.6,70,東北,3.4,0,0.5
113,臺北,2017/12/28,07:12:00,"1,017.40",18.6,73,東北,2.6,0,0
114,臺北,2017/12/28,06:12:00,"1,016.70",18.5,72,東北,2.7,0,0
115,臺北,2017/12/28,05:12:00,"1,017",18.5,71,東北,3.9,0,-
116,臺北,2017/12/28,04:12:00,"1,017.20",18.6,71,東北,4.2,0,-
117,臺北,2017/12/28,03:12:00,"1,017.40",19.1,68,東北東,3.1,0,-
118,臺北,2017/12/28,02:12:00,"1,017.90",18.9,69,東北,4,0,-
119,臺北,2017/12/28,01:12:00,"1,018.30",19.1,69,東北,3.2,0,-
120,臺北,2017/12/28,00:12:00,"1,017.20",18.8,88,東,2,0,-
121,臺北,2017/12/27,23:12:00,"1,018.60",19.3,70,東北東,2.5,0,-
122,臺北,2017/12/27,22:12:00,"1,018.90",19.4,66,東,3.4,0,-
123,臺北,2017/12/27,21:12:00,"1,018.80",19.3,65,東北東,3.4,0,-
124,臺北,2017/12/27,20:12:00,"1,018.60",19.2,65,東北,3.4,0,-
125,臺北,2017/12/27,19:12:00,"1,018",19.3,65,東北,3.7,0,0
126,臺北,2017/12/27,18:12:00,"1,017.60",19.2,64,東北,4.1,0,0
127,臺北,2017/12/27,17:12:00,"1,017.30",19.5,63,東北東,4.1,0,0.1
128,臺北,2017/12/27,16:12:00,"1,016.90",20,61,東北東,4.4,0,0.1
129,臺北,2017/12/27,15:12:00,"1,016.60",20.3,58,東北東,5.9,0,0.2
130,臺北,2017/12/27,14:12:00,"1,016.40",20.1,62,東北,6,0,0.6
131,臺北,2017/12/27,13:12:00,"1,017.70",20.1,63,東北東,3.2,0,0.3
132,臺北,2017/12/27,12:12:00,"1,018.80",19.1,64,東北東,4.9,0,0
133,臺北,2017/12/27,11:12:00,"1,019.90",19.1,64,東北東,4.3,0,0
134,臺北,2017/12/27,10:12:00,"1,020.60",18.7,65,東北東,4.7,0,0
135,臺北,2017/12/27,09:12:00,"1,021",18.5,64,東,5,0,0
136,臺北,2017/12/27,08:12:00,"1,020.10",17.9,65,東北東,4.5,0,0.1
137,臺北,2017/12/27,07:12:00,"1,020.10",17.3,69,東北東,4.6,0,0
138,臺北,2017/12/27,06:12:00,"1,019.90",17.6,66,東,3.6,0,0
139,臺北,2017/12/27,05:12:00,"1,019.60",17.7,64,東北東,4.2,0,-
140,臺北,2017/12/27,04:12:00,"1,019.30",17.8,67,東北東,4.6,0,-
141,臺北,2017/12/27,03:12:00,"1,019.30",17.8,65,東北東,4.3,0,-
142,臺北,2017/12/27,02:12:00,"1,018.90",18,64,東北東,4.9,0,-
143,臺北,2017/12/27,01:12:00,"1,019.60",18,64,東,4.8,0,-
144,臺北,2017/12/27,00:12:00,"1,018.30",19.1,69,東北東,2.9,0,-
145,臺北,2017/12/26,23:12:00,"1,019.80",17.8,67,東北東,4,0,-
146,臺北,2017/12/26,22:12:00,"1,019.90",18.1,67,東北東,5,0,-
147,臺北,2017/12/26,21:12:00,"1,019.40",18.5,64,東北,4.4,0,-
148,臺北,2017/12/26,20:12:00,"1,019.30",18.6,65,東北東,4.1,0,-
149,臺北,2017/12/26,19:12:00,"1,019.10",18.6,67,東北,5.6,0,0
150,臺北,2017/12/26,18:12:00,"1,018.60",18.5,67,東北東,3.7,0,0
151,臺北,2017/12/26,17:12:00,"1,017.90",18.7,65,東北,6.3,0,0
152,臺北,2017/12/26,16:12:00,"1,017.40",19.1,64,東北東,4.2,0,0
153,臺北,2017/12/26,15:12:00,"1,016.70",19.5,63,東北,6.3,0,0.4
154,臺北,2017/12/26,14:12:00,"1,016.30",20.3,60,東北,5.8,0,0.8
155,臺北,2017/12/26,13:12:00,"1,017.10",20.2,63,東北,5.1,0,0.7
156,臺北,2017/12/26,12:12:00,"1,018.20",20.3,64,東北,4.4,0,0.1
157,臺北,2017/12/26,11:12:00,"1,019.20",19.4,67,東北東,3.7,0,0.1
158,臺北,2017/12/26,10:12:00,"1,019.90",19,66,東北東,3.9,0,0
159,臺北,2017/12/26,09:12:00,"1,020.20",18.4,68,東北東,4.1,0,0
160,臺北,2017/12/26,08:12:00,"1,019.90",18.2,67,東,2.8,0,0
161,臺北,2017/12/26,07:12:00,"1,019.20",18.1,66,東北東,3.8,0,0
162,臺北,2017/12/26,06:12:00,"1,018.80",18,66,東北,4.1,0,0
163,臺北,2017/12/26,05:12:00,"1,017.80",17.9,66,東北,3.5,0,-
164,臺北,2017/12/26,04:12:00,"1,017.40",17.9,65,東北,4.8,0,-
165,臺北,2017/12/26,03:12:00,"1,017.30",17.9,65,東北,4.3,0,-
166,臺北,2017/12/26,02:12:00,"1,017.20",17.6,65,東北,4.3,0,-
167,臺北,2017/12/26,01:12:00,"1,017.30",17.5,65,東北,4.5,0,-
168,臺北,2017/12/26,00:12:00,"1,019.60",17.9,66,東北東,4.9,0,-
169,臺北,2017/12/25,23:12:00,"1,017.80",17.6,60,東北,4.3,0,-
170,臺北,2017/12/25,22:12:00,"1,018.20",17.6,63,東北東,3.8,0,-
171,臺北,2017/12/25,21:12:00,"1,018.50",17.7,63,東,3.6,0,-
172,臺北,2017/12/25,20:12:00,"1,018.60",17.7,64,東北東,4.1,0,-
173,臺北,2017/12/25,19:12:00,"1,018.60",17.1,64,東,3.8,0,0
174,臺北,2017/12/25,18:12:00,"1,018.30",17.1,62,東北東,4.6,0,0
175,臺北,2017/12/25,17:12:00,"1,017.80",17.1,60,東北東,4.4,0,0
176,臺北,2017/12/25,16:12:00,"1,017.50",17.6,58,東北,5.1,0,0.4
177,臺北,2017/12/25,15:12:00,"1,017.30",18.1,55,東北,5.1,0,0.5
178,臺北,2017/12/25,14:12:00,"1,017.40",17.4,55,東北,6.7,0,0
179,臺北,2017/12/25,13:12:00,"1,017.90",17.2,54,東北,4.4,0,0
180,臺北,2017/12/25,12:12:00,"1,019.30",16.7,58,東北,4.7,0,0
181,臺北,2017/12/25,11:12:00,"1,020.20",16.8,58,東北,4.6,0,0
182,臺北,2017/12/25,10:12:00,"1,021",17.1,56,東北,3.9,0,0
183,臺北,2017/12/25,09:12:00,"1,021.20",16.3,55,東北,5,0,0
184,臺北,2017/12/25,08:12:00,"1,020.80",16.1,54,東北,3.9,0,0
185,臺北,2017/12/25,07:12:00,"1,020.50",16.1,56,東北,3.8,0,0
186,臺北,2017/12/25,06:12:00,"1,020.10",16.1,54,東北,4.1,0,0
187,臺北,2017/12/25,05:12:00,"1,019.40",16.4,51,北北東,4,0,-
188,臺北,2017/12/25,04:12:00,"1,019",16.8,55,東北,4.5,0,-
189,臺北,2017/12/25,03:12:00,"1,018.50",17.2,55,東北,3.8,0,-
190,臺北,2017/12/25,02:12:00,"1,018.30",17.5,56,東北,4.1,0,-
191,臺北,2017/12/25,01:12:00,"1,018.50",17.8,57,東北,4.3,0,-
192,臺北,2017/12/25,00:12:00,"1,017.30",17.7,62,東北,5.1,0,-
193,臺北,2017/12/24,23:12:00,"1,018",18.4,60,東北,3.8,0,-
194,臺北,2017/12/24,22:12:00,"1,017.70",18.8,62,東北,5.3,0,-
195,臺北,2017/12/24,21:12:00,"1,017.10",19,63,東北,4,0,-
196,臺北,2017/12/24,20:12:00,"1,017",19.1,65,東北,3.5,0,-
197,臺北,2017/12/24,19:12:00,"1,016.20",19.4,63,東北,3.5,0,0
198,臺北,2017/12/24,18:12:00,"1,015.60",19.7,65,東北,3,0,0
199,臺北,2017/12/24,17:12:00,"1,014.50",19.8,67,東北東,3.2,0,0.2
200,臺北,2017/12/24,16:12:00,"1,013.90",20.7,71,東,2.6,0,0.2
201,臺北,2017/12/24,15:12:00,"1,013.10",21.8,67,西南西,0.9,0,0.9
202,臺北,2017/12/24,14:12:00,"1,013",23.6,57,西,2,0,1
203,臺北,2017/12/24,13:12:00,"1,013.60",22,63,西北,2,0,0.7
204,臺北,2017/12/24,12:12:00,"1,014.30",22.2,69,西南西,1.2,0,0.1
205,臺北,2017/12/24,11:12:00,"1,015.10",21,73,西南西,1.5,0,0
206,臺北,2017/12/24,10:12:00,"1,015.70",19.8,74,西南西,1.9,0,0
207,臺北,2017/12/24,09:12:00,"1,015.80",19.1,78,西,0.8,0,0
208,臺北,2017/12/24,08:12:00,"1,015.30",18.4,80,西南西,1.5,0,0
209,臺北,2017/12/24,07:12:00,"1,014.60",17.6,83,西南,0.9,0,0
210,臺北,2017/12/24,06:12:00,"1,013.70",17.3,83,西南,2,0,0
211,臺北,2017/12/24,05:12:00,"1,013",16.8,81,南南西,1.1,0,-
212,臺北,2017/12/24,04:12:00,"1,012.50",17,80,南南西,1.4,0,-
213,臺北,2017/12/24,03:12:00,"1,012.50",17.3,80,南,0.9,0,-
214,臺北,2017/12/24,02:12:00,"1,012.50",17.7,79,南南西,1.1,0,-
215,臺北,2017/12/24,01:12:00,"1,012.30",18,78,南南東,1,0,-
216,臺北,2017/12/24,00:12:00,"1,018.10",18.2,58,東北,4.1,0,-
217,臺北,2017/12/23,23:12:00,"1,012.50",18.9,76,南,0.9,0,-
218,臺北,2017/12/23,22:12:00,"1,012.50",19.4,74,南,1.3,0,-
219,臺北,2017/12/23,21:12:00,"1,012.20",19.8,71,靜風,0.1,0,-
220,臺北,2017/12/23,20:12:00,"1,012.10",20.6,68,西南,0.5,0,-
221,臺北,2017/12/23,19:12:00,"1,011.70",21.1,66,西南西,0.5,0,0
222,臺北,2017/12/23,18:12:00,"1,011.50",22.4,61,東,1.9,0,0
223,臺北,2017/12/23,17:12:00,"1,011.10",23.2,58,東南東,2.5,0,0
224,臺北,2017/12/23,16:12:00,"1,010.50",23.9,56,東南東,2.5,0,0.2
225,臺北,2017/12/23,15:12:00,"1,009.80",25.2,54,東南東,2.4,0,0.9
226,臺北,2017/12/23,14:12:00,"1,009.80",25.9,51,東,3.9,0,1
227,臺北,2017/12/23,13:12:00,"1,010.60",26.2,47,東,2.9,0,1
228,臺北,2017/12/23,12:12:00,"1,011.80",25.9,48,東,3.7,0,1
229,臺北,2017/12/23,11:12:00,"1,012.80",25.6,51,東北東,3.2,0,1
230,臺北,2017/12/23,10:12:00,"1,013.60",24.1,59,東北,3.2,0,1
231,臺北,2017/12/23,09:12:00,"1,014.30",22.6,66,東北,3.4,0,0.9
232,臺北,2017/12/23,08:12:00,"1,014.50",18.7,71,東北東,0.6,0,0.9
233,臺北,2017/12/23,07:12:00,"1,014.60",16.9,74,東北,0.9,0,0
234,臺北,2017/12/23,06:12:00,"1,014.60",18.2,70,南,1.6,0,0
235,臺北,2017/12/23,05:12:00,"1,014",18.4,72,西南,0.5,0,-
236,臺北,2017/12/23,04:12:00,"1,013.70",19.7,67,東,0.9,0,-
237,臺北,2017/12/23,03:12:00,"1,013.60",20.5,63,東北,2.7,0,-
238,臺北,2017/12/23,02:12:00,"1,014",20.6,63,東北,3.2,0,-
239,臺北,2017/12/23,01:12:00,"1,014.40",20.3,64,東北,3.6,0,-
240,臺北,2017/12/23,00:12:00,"1,012.40",18.3,77,南,1,0,-
241,臺北,2017/12/22,23:12:00,"1,015.10",20.2,62,東北,2.8,0,-
242,臺北,2017/12/22,22:12:00,"1,015.30",20.2,62,東北東,2.8,0,-
243,臺北,2017/12/22,21:12:00,"1,015.40",20.4,60,東北東,3.7,0,-
244,臺北,2017/12/22,20:12:00,"1,015.30",20.4,60,東北東,3.9,0,-
245,臺北,2017/12/22,19:12:00,"1,015.10",20.6,57,東北,5.1,0,0
246,臺北,2017/12/22,18:12:00,"1,015",20.7,56,東北東,4.3,0,0
247,臺北,2017/12/22,17:12:00,"1,015.20",21.1,56,東北,5.4,0,0.8
248,臺北,2017/12/22,16:12:00,"1,014.80",22.1,55,東北,4.7,0,1
249,臺北,2017/12/22,15:12:00,"1,014.80",23.1,51,東,5.1,0,1
250,臺北,2017/12/22,14:12:00,"1,015.10",23.7,50,東北東,4.7,0,1
251,臺北,2017/12/22,13:12:00,"1,016",23.6,49,東北東,3.3,0,1
252,臺北,2017/12/22,12:12:00,"1,016.80",23.4,51,東北東,3.4,0,1
253,臺北,2017/12/22,11:12:00,"1,017.90",22.3,55,東北東,5.6,0,1
254,臺北,2017/12/22,10:12:00,"1,018.50",21.7,60,東北,4.9,0,1
255,臺北,2017/12/22,09:12:00,"1,019.20",19.9,64,東北,5.2,0,1
256,臺北,2017/12/22,08:12:00,"1,019.50",18,66,東北,4.4,0,1
257,臺北,2017/12/22,07:12:00,"1,019.50",16.7,68,東北,3.5,0,0
258,臺北,2017/12/22,06:12:00,"1,019.30",16.8,66,東北,3,0,0
259,臺北,2017/12/22,05:12:00,"1,019.10",16.9,65,東北,4,0,-
260,臺北,2017/12/22,04:12:00,"1,019",17.1,63,東北,3.8,0,-
261,臺北,2017/12/22,03:12:00,"1,019.10",17.2,63,東北,4.2,0,-
262,臺北,2017/12/22,02:12:00,"1,019.50",17.1,64,東北,4,0,-
263,臺北,2017/12/22,01:12:00,"1,020.20",17.4,63,東北,4.6,0,-
264,臺北,2017/12/22,00:12:00,"1,014.80",20.2,63,東北,3.4,0,-
265,臺北,2017/12/21,23:12:00,"1,021.20",17.3,59,東北,5.7,0,-
266,臺北,2017/12/21,22:12:00,"1,021.60",17.2,60,東北,3.7,0,-
267,臺北,2017/12/21,21:12:00,"1,022.10",17.2,59,東北,4.9,0,-
268,臺北,2017/12/21,20:12:00,"1,022.20",17.2,56,東北,3.8,0,-
269,臺北,2017/12/21,19:12:00,"1,021.90",17.3,57,東北,5.2,0,0
270,臺北,2017/12/21,18:12:00,"1,021.50",17.1,59,東北,4.3,0,0
271,臺北,2017/12/21,17:12:00,"1,021.40",17.1,59,東北,4.8,0,0.2
272,臺北,2017/12/21,16:12:00,"1,021.20",17.6,54,東北,5.8,0,0.8
273,臺北,2017/12/21,15:12:00,"1,021.30",18.3,55,東北東,5.7,0,0.7
274,臺北,2017/12/21,14:12:00,"1,021.20",17.7,52,東北,6.4,0,0
275,臺北,2017/12/21,13:12:00,"1,021.80",18,50,東北,4.8,0,0.1
276,臺北,2017/12/21,12:12:00,"1,023.20",17.4,53,東北,7.3,0,0.2
277,臺北,2017/12/21,11:12:00,"1,024.50",17.3,52,東北,5.4,0,0.6
278,臺北,2017/12/21,10:12:00,"1,025.50",17.1,53,東北,5.2,0,0.5
279,臺北,2017/12/21,09:12:00,"1,026.20",16.4,56,東北,4.6,0,0.3
280,臺北,2017/12/21,08:12:00,"1,026.40",15.6,57,東北,4.1,0,0.1
281,臺北,2017/12/21,07:12:00,"1,026.10",14.9,58,東北,2.8,0,0
282,臺北,2017/12/21,06:12:00,"1,025.90",15.2,59,東北東,3,0,0
283,臺北,2017/12/21,05:12:00,"1,025.70",14.9,61,東北,2.4,0,-
284,臺北,2017/12/21,04:12:00,"1,025.40",15,59,東北,3.5,0,-
285,臺北,2017/12/21,03:12:00,"1,025.50",15.1,60,東北,3.1,0,-
286,臺北,2017/12/21,02:12:00,"1,025.80",15.3,58,東北,3.6,0,-
287,臺北,2017/12/21,01:12:00,"1,026.40",15.3,58,東北,3.4,0,-
288,臺北,2017/12/21,00:12:00,"1,020.80",17.4,60,東北,4.6,0,-
289,臺北,2017/12/20,23:12:00,"1,026.60",14.9,60,東北東,2.1,0,-
290,臺北,2017/12/20,22:12:00,"1,026.70",15.3,59,東北東,2.4,0,-
291,臺北,2017/12/20,21:12:00,"1,026.70",15.3,62,東北東,2.5,0,-
292,臺北,2017/12/20,20:12:00,"1,026.50",15.6,62,東北東,2.7,0,-
293,臺北,2017/12/20,19:12:00,"1,026.40",15.8,61,東北,3.7,0,0
294,臺北,2017/12/20,18:12:00,"1,026.10",16,61,東北,2.7,0,0
295,臺北,2017/12/20,17:12:00,"1,025.50",16.4,62,東北,3.4,0,0.1
296,臺北,2017/12/20,16:12:00,"1,024.80",17.5,61,東北東,4.2,0,0.6
297,臺北,2017/12/20,15:12:00,"1,024.40",18.3,58,北北東,3.2,0,0.7
298,臺北,2017/12/20,14:12:00,"1,024.10",17.8,58,北北東,5.4,0,0.7
299,臺北,2017/12/20,13:12:00,"1,024.20",19.1,52,東北,3.7,0,0.9
300,臺北,2017/12/20,12:12:00,"1,024.90",19.1,51,東北,4.5,0,1
301,臺北,2017/12/20,11:12:00,"1,025.90",19.2,49,東北,5.7,0,1
302,臺北,2017/12/20,10:12:00,"1,026.60",18.5,57,東北,5,0,0.7
303,臺北,2017/12/20,09:12:00,"1,027.10",17.2,66,東北,3,0,0.4
304,臺北,2017/12/20,08:12:00,"1,026.30",16.5,66,東北東,2.8,0,0.4
305,臺北,2017/12/20,07:12:00,"1,025.90",15.3,72,東北東,1.7,0,0
306,臺北,2017/12/20,06:12:00,"1,026.20",15.5,72,東北,1.6,0,0
307,臺北,2017/12/20,05:12:00,"1,025.30",15.1,79,東北,2.3,0,-
308,臺北,2017/12/20,04:12:00,"1,025.10",14.9,81,東北東,2.3,0,-
309,臺北,2017/12/20,03:12:00,"1,024.90",14.8,83,東北東,2.5,0,-
310,臺北,2017/12/20,02:12:00,"1,025",14.8,86,東北東,2.3,0,-
311,臺北,2017/12/20,01:12:00,"1,024.90",15.2,84,東北,3.5,0,-
312,臺北,2017/12/20,00:12:00,"1,026.50",15.4,59,東北東,2,0,-
313,臺北,2017/12/19,23:12:00,"1,025",14.7,84,東北,3.2,0,-
314,臺北,2017/12/19,22:12:00,"1,024.90",14.4,84,東北,4.1,0,-
315,臺北,2017/12/19,21:12:00,"1,024.70",14.6,84,東北,4.8,0,-
316,臺北,2017/12/19,20:12:00,"1,024.50",14.5,85,東北,3.7,0,-
317,臺北,2017/12/19,19:12:00,"1,024.10",15,83,東北,4,0,0
318,臺北,2017/12/19,18:12:00,"1,023.70",14.9,84,東北東,3.1,0,0
319,臺北,2017/12/19,17:12:00,"1,023.20",14.7,87,東北,3.1,0,0
320,臺北,2017/12/19,16:12:00,"1,022.40",14.6,88,東北東,2.5,1,0
321,臺北,2017/12/19,15:12:00,"1,022",14.4,88,東,2.7,1,0
322,臺北,2017/12/19,14:12:00,"1,022.20",14.4,86,東北,3.6,0,0
