序號,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s)
238,1014.0,20.6,63,3,3.2
239,1014.4,20.3,64,3,3.6
240,1012.4,18.3,77,9,1.0
241,1015.1,20.2,62,3,2.8
242,1015.3,20.2,62,4,2.8
243,1015.4,20.4,60,4,3.7
244,1015.3,20.4,60,4,3.9
245,1015.1,20.6,57,3,5.1
246,1015.0,20.7,56,4,4.3
247,1015.2,21.1,56,3,5.4
248,1014.8,22.1,55,3,4.7
249,1014.8,23.1,51,5,5.1
250,1015.1,23.7,50,4,4.7
251,1016.0,23.6,49,4,3.3
252,1016.8,23.4,51,4,3.4
253,1017.9,22.3,55,4,5.6
254,1018.5,21.7,60,3,4.9
255,1019.2,19.9,64,3,5.2
256,1019.5,18.0,66,3,4.4
257,1019.5,16.7,68,3,3.5
258,1019.3,16.8,66,3,3.0
259,1019.1,16.9,65,3,4.0
260,1019.0,17.1,63,3,3.8
261,1019.1,17.2,63,3,4.2
262,1019.5,17.1,64,3,4.0
263,1020.2,17.4,63,3,4.6
264,1014.8,20.2,63,3,3.4
265,1021.2,17.3,59,3,5.7
266,1021.6,17.2,60,3,3.7
267,1022.1,17.2,59,3,4.9
268,1022.2,17.2,56,3,3.8
269,1021.9,17.3,57,3,5.2
270,1021.5,17.1,59,3,4.3
271,1021.4,17.1,59,3,4.8
272,1021.2,17.6,54,3,5.8
273,1021.3,18.3,55,4,5.7
274,1021.2,17.7,52,3,6.4
275,1021.8,18.0,50,3,4.8
276,1023.2,17.4,53,3,7.3
277,1024.5,17.3,52,3,5.4
278,1025.5,17.1,53,3,5.2
279,1026.2,16.4,56,3,4.6
280,1026.4,15.6,57,3,4.1
281,1026.1,14.9,58,3,2.8
282,1025.9,15.2,59,4,3.0
283,1025.7,14.9,61,3,2.4
284,1025.4,15.0,59,3,3.5
285,1025.5,15.1,60,3,3.1
286,1025.8,15.3,58,3,3.6
287,1026.4,15.3,58,3,3.4
288,1020.8,17.4,60,3,4.6
289,1026.6,14.9,60,4,2.1
290,1026.7,15.3,59,4,2.4
291,1026.7,15.3,62,4,2.5
292,1026.5,15.6,62,4,2.7
293,1026.4,15.8,61,3,3.7
294,1026.1,16.0,61,3,2.7
295,1025.5,16.4,62,3,3.4
296,1024.8,17.5,61,4,4.2
297,1024.4,18.3,58,2,3.2
298,1024.1,17.8,58,2,5.4
299,1024.2,19.1,52,3,3.7
300,1024.9,19.1,51,3,4.5
301,1025.9,19.2,49,3,5.7
302,1026.6,18.5,57,3,5.0
303,1027.1,17.2,66,3,3.0
304,1026.3,16.5,66,4,2.8
305,1025.9,15.3,72,4,1.7
306,1026.2,15.5,72,3,1.6
307,1025.3,15.1,79,3,2.3
308,1025.1,14.9,81,4,2.3
309,1024.9,14.8,83,4,2.5
310,1025.0,14.8,86,4,2.3
311,1024.9,15.2,84,3,3.5
312,1026.5,15.4,59,4,2.0
313,1025.0,14.7,84,3,3.2
314,1024.9,14.4,84,3,4.1
315,1024.7,14.6,84,3,4.8
316,1024.5,14.5,85,3,3.7
317,1024.1,15.0,83,3,4.0
318,1023.7,14.9,84,4,3.1
319,1023.2,14.7,87,3,3.1
320,1022.4,14.6,88,4,2.5
321,1022.0,14.4,88,5,2.7
322,1022.2,14.4,86,3,3.6
323,1022.5,14.2,88,3,2.6
324,1023.8,14.2,87,4,2.2
325,1024.4,14.0,87,4,2.5
326,1025.1,13.7,85,3,3.6
327,1025.2,13.6,83,3,3.3
328,1024.3,14.1,83,3,3.5
329,1024.3,14.0,86,4,2.5
330,1023.4,14.1,86,3,2.6
331,1022.6,14.3,85,4,2.0
332,1021.9,14.6,86,3,3.4
333,1022.2,14.8,85,3,2.9
334,1022.0,14.8,86,4,3.6
335,1022.1,14.6,88,4,2.4
336,1024.9,15.0,82,4,2.0
337,1022.1,14.7,87,4,2.4
338,1022.1,14.7,87,4,3.4
339,1022.3,14.7,87,4,2.5
340,1022.0,14.9,86,4,2.0
341,1021.7,14.9,86,4,3.0
342,1021.0,14.9,83,3,3.7
343,1020.6,15.1,84,3,3.4
344,1019.9,15.4,84,3,3.0
345,1019.8,15.3,84,3,3.6
346,1019.7,15.4,85,3,4.2
347,1020.1,15.3,86,3,3.5
348,1021.0,15.3,86,3,3.7
349,1022.1,15.0,87,3,3.8
350,1022.7,14.8,88,4,2.3
351,1023.0,14.5,88,3,3.1
352,1022.7,14.1,88,5,1.8
353,1022.3,13.8,89,5,1.2
354,1021.9,13.7,88,3,0.8
355,1021.3,13.8,85,3,3.0
356,1020.9,14.2,83,4,2.3
357,1021.1,14.3,81,4,2.5
358,1021.4,14.7,76,3,3.2
359,1021.8,14.5,77,4,2.4
360,1022.0,14.8,87,4,3.2
361,1022.6,14.1,79,4,3.1
362,1022.8,14.2,79,3,2.7
363,1023.2,14.0,80,4,2.5
364,1023.0,13.7,83,4,2.5
365,1023.0,13.5,82,3,3.9
366,1022.6,13.4,83,3,3.0
367,1022.2,13.3,84,4,3.3
368,1021.8,13.6,83,4,2.6
369,1021.5,14.0,83,4,2.7
370,1022.0,13.8,83,3,3.4
371,1022.7,13.6,82,4,3.8
372,1023.5,13.4,83,3,3.6
373,1024.5,13.0,82,6,1.7
374,1025.0,13.4,77,4,3.0
375,1025.2,13.0,78,3,3.0
376,1025.3,13.1,74,4,2.6
377,1025.1,13.1,73,3,3.5
378,1024.9,12.9,74,3,4.2
379,1024.6,13.2,72,3,4.4
380,1024.7,12.9,76,3,3.0
381,1024.6,13.2,74,3,3.8
382,1024.5,13.4,74,3,3.9
383,1024.4,13.6,75,3,4.3
384,1022.1,14.3,79,4,2.5
385,1024.5,14.2,74,3,2.8
386,1024.5,14.7,74,2,2.4
387,1024.2,14.9,74,2,3.2
388,1024.1,15.0,72,3,3.4
389,1023.7,15.2,74,4,2.7
390,1023.0,15.4,72,3,3.2
391,1022.2,16.0,71,1,3.4
392,1020.8,16.4,72,2,2.0
393,1019.7,17.1,72,1,2.7
394,1019.0,17.9,75,2,2.2
395,1018.7,18.1,76,3,3.3
396,1018.6,18.6,77,3,3.9
397,1018.8,19.5,78,3,2.4
398,1018.7,19.4,82,4,1.6
399,1018.4,19.3,86,10,1.1
400,1017.6,19.0,87,9,1.1
401,1016.8,18.5,88,10,0.9
402,1016.0,18.5,86,7,0.9
403,1016.1,19.2,79,4,1.3
404,1015.4,19.5,76,7,1.0
405,1015.4,19.7,77,8,0.7
406,1015.4,19.5,75,9,0.3
407,1015.2,19.8,72,9,0.5
408,1024.5,13.8,76,3,3.3
409,1015.2,20.1,70,8,1.6
410,1015.1,20.7,68,5,1.6
411,1014.9,21.1,66,4,1.2
412,1014.6,21.3,66,3,2.0
413,1014.2,21.7,64,3,1.7
414,1014.1,22.0,65,4,2.2
415,1013.6,22.4,63,4,3.4
416,1013.1,22.8,61,4,4.1
417,1012.3,23.6,62,5,2.4
418,1011.9,23.7,64,5,3.9
419,1012.3,23.7,63,4,4.0
420,1013.5,23.3,68,3,5.2
421,1014.7,23.4,67,4,4.8
422,1015.4,22.7,71,3,3.6
423,1016.2,20.6,77,4,3.6
424,1015.9,20.2,74,3,3.6
425,1015.7,19.0,80,3,3.4
426,1015.3,18.7,84,3,3.3
427,1015.1,19.1,81,3,3.5
428,1015.1,19.1,81,3,4.0
429,1015.3,19.0,82,3,2.9
430,1015.4,18.9,83,3,3.8
431,1015.4,18.8,84,4,2.7
432,1015.2,20.0,71,6,0.6
433,1015.5,19.0,84,3,5.3
434,1015.9,19.2,83,3,5.0
435,1016.1,19.4,80,3,3.4
436,1016.1,19.7,77,3,5.2
437,1016.1,19.6,76,3,4.1
438,1015.9,19.4,76,4,3.2
439,1015.3,19.5,75,3,4.7
440,1015.1,19.7,74,3,4.5
441,1014.7,19.4,76,3,4.2
442,1015.0,20.1,73,3,4.8
443,1015.1,20.5,74,3,4.6
444,1015.8,20.7,74,3,6.6
445,1016.4,20.9,74,3,5.7
446,1017.1,21.1,74,4,4.5
447,1017.1,20.3,77,3,4.2
448,1016.9,18.1,77,3,3.6
449,1016.7,18.0,75,4,3.3
450,1016.4,17.5,78,4,2.8
451,1015.9,17.6,77,3,4.3
452,1015.6,17.6,76,3,3.9
453,1015.9,17.7,73,3,4.1
454,1016.3,17.5,73,4,4.0
455,1017.3,16.3,81,4,2.9
456,1015.5,19.1,83,3,4.4
457,1018.4,16.3,83,4,3.7
458,1018.6,16.4,83,4,5.3
459,1018.5,16.3,84,4,4.3
460,1018.4,16.5,84,4,5.5
461,1017.9,16.4,85,3,4.7
462,1017.5,16.7,84,3,6.1
463,1016.3,17.3,83,3,5.3
464,1015.9,17.6,83,3,4.2
465,1015.9,18.1,81,3,5.2
466,1015.7,18.3,81,3,4.4
467,1016.0,18.4,81,3,5.7
468,1016.8,18.0,83,3,4.8
469,1017.5,18.2,84,3,5.9
470,1017.8,18.0,84,3,5.1
471,1017.4,18.5,84,3,5.9
472,1016.9,18.2,85,3,4.6
473,1016.2,17.9,85,3,5.1
474,1015.8,18.0,84,3,3.9
475,1014.6,17.9,85,4,5.7
476,1014.9,17.8,85,3,3.3
477,1015.2,17.3,87,4,3.2
478,1015.5,17.1,86,4,4.0
479,1016.0,17.1,85,3,4.1
480,1017.9,16.2,83,4,3.9
481,1016.7,17.0,85,4,2.5
482,1017.1,17.0,85,3,4.2
483,1017.2,16.9,86,3,3.8
484,1017.2,16.9,86,3,4.5
485,1016.9,17.0,86,3,4.7
486,1016.4,17.1,85,4,3.7
487,1016.5,16.8,86,3,3.3
488,1015.9,16.9,85,4,2.6
489,1015.6,17.0,86,4,4.1
490,1015.9,17.1,85,3,2.9
491,1016.1,16.9,85,4,4.2
492,1017.5,17.0,86,3,2.4
493,1017.9,17.1,84,3,2.5
494,1018.3,16.6,87,3,2.1
495,1018.5,16.5,86,3,3.1
496,1018.4,16.4,84,4,3.3
497,1017.6,16.4,84,3,3.5
498,1017.0,16.6,84,3,4.9
499,1016.1,16.5,79,3,4.0
500,1016.0,17.8,70,4,4.1
501,1016.1,18.0,64,5,2.2
502,1015.9,18.1,61,5,2.7
503,1016.3,18.3,59,4,3.8
504,1016.3,17.2,86,4,3.0
505,1016.7,18.5,57,4,3.1
506,1016.8,18.3,59,5,3.8
507,1016.9,18.3,60,4,3.0
508,1017.3,18.1,61,5,2.6
509,1016.9,18.1,62,4,3.5
510,1016.8,18.0,62,5,2.2
511,1016.4,17.9,62,3,4.3
512,1016.0,17.9,61,3,4.1
513,1015.9,17.9,61,3,3.5
514,1015.5,18.0,62,3,3.3
515,1015.8,18.1,63,2,3.5
516,1016.5,18.2,61,3,4.3
517,1017.2,18.3,62,3,4.6
518,1017.5,18.1,62,3,5.0
519,1017.5,17.9,61,3,5.3
520,1017.4,17.7,61,3,4.3
521,1017.3,17.6,61,3,4.5
522,1017.1,17.8,61,3,3.7
523,1016.9,17.7,62,4,3.6
524,1016.6,17.7,65,2,2.5
525,1016.2,18.1,65,2,2.1
526,1015.9,18.6,65,3,3.1
527,1016.0,18.8,65,3,3.3
528,1016.4,18.2,60,4,4.2
529,1015.9,18.9,70,3,3.5
530,1015.9,19.2,73,3,3.7
531,1015.5,18.3,80,5,1.1
532,1015.3,17.7,81,9,1.3
533,1014.9,18.0,79,3,0.5
534,1014.3,18.8,77,2,0.8
535,1013.3,19.1,77,9,1.3
536,1013.1,20.2,75,14,0.9
537,1012.5,21.5,70,17,0.2
538,1012.6,21.9,71,14,1.4
539,1013.2,20.5,74,13,2.0
540,1013.6,20.1,75,14,1.0
541,1014.0,20.1,73,10,0.6
542,1014.8,19.0,70,10,1.1
543,1015.0,16.4,84,9,0.6
544,1014.7,14.4,87,10,0.6
545,1014.0,13.1,86,17,0.1
546,1013.4,13.0,86,9,0.6
547,1013.1,12.9,86,10,1.0
548,1013.0,13.0,86,17,0.2
549,1013.2,13.3,86,9,1.1
550,1013.2,13.4,86,10,1.1
551,1013.1,13.5,85,17,0.1
552,1015.9,18.9,68,3,3.8
553,1013.4,15.1,82,10,1.4
554,1013.3,16.4,78,3,2.5
555,1013.5,16.6,77,3,2.7
556,1013.0,16.4,79,3,3.7
557,1013.3,16.6,78,4,2.6
558,1013.6,16.3,80,4,2.1
559,1013.4,16.6,81,4,2.3
560,1013.2,16.6,82,3,2.9
561,1013.3,16.4,83,3,2.8
562,1013.5,16.1,85,3,2.9
563,1014.5,15.8,87,3,1.5
564,1015.7,15.6,87,3,1.9
565,1015.8,15.3,86,3,2.8
566,1016.5,14.8,84,5,2.0
567,1016.7,14.3,84,5,2.1
568,1016.8,14.1,79,6,2.0
569,1016.6,13.9,79,5,2.9
570,1016.8,13.6,79,6,2.6
571,1017.1,14.1,76,6,1.8
572,1017.3,14.5,73,4,2.1
573,1017.4,14.5,76,5,2.2
574,1018.1,13.7,83,8,0.5
575,1018.4,13.9,78,7,1.1
576,1013.3,14.3,85,8,0.7
577,1019.1,13.8,77,7,1.9
578,1019.3,13.7,76,6,1.4
579,1020.2,15.1,64,5,1.9
580,1020.2,15.5,58,4,2.0
581,1019.9,15.4,58,3,2.5
582,1019.7,15.5,59,3,2.4
583,1019.1,15.4,58,2,1.8
584,1018.5,15.5,58,2,2.4
585,1018.2,15.6,58,1,3.4
586,1018.0,15.6,61,2,3.5
587,1018.2,15.7,65,1,3.8
588,1018.5,15.8,65,1,4.2
589,1019.6,15.7,70,1,2.5
590,1020.8,15.2,72,2,2.4
591,1021.5,14.8,73,2,1.3
592,1020.8,14.9,75,3,2.5
593,1020.0,14.8,83,13,1.1
594,1019.3,14.4,87,9,0.6
595,1018.7,14.6,86,8,0.7
596,1018.6,15.1,87,7,1.7
597,1018.1,15.0,88,9,1.1
598,1017.6,15.4,87,11,1.4
599,1017.1,16.2,86,12,0.7
600,1018.9,13.8,77,7,1.6
601,1015.9,16.8,87,3,0.6
602,1015.2,16.9,85,3,3.5
603,1015.1,17.2,87,4,1.7
604,1014.9,17.2,88,1,0.6
605,1014.8,17.6,87,12,0.8
606,1014.0,17.8,86,4,1.9
607,1013.3,17.6,87,3,1.5
608,1013.1,17.6,88,6,0.7
609,1012.9,17.4,89,5,1.1
610,1013.0,17.9,88,14,0.8
611,1013.1,18.1,86,13,0.5
612,1013.7,18.1,89,3,0.7
613,1014.3,18.4,86,3,1.7
614,1014.5,18.3,86,3,1.8
615,1015.1,17.6,86,3,2.5
616,1015.1,17.0,86,3,1.8
617,1014.8,16.7,86,5,2.8
618,1015.5,16.7,87,5,1.5
619,1015.0,16.5,88,6,1.7
620,1015.0,16.5,87,6,1.6
621,1015.1,16.8,85,5,1.9
622,1014.8,16.7,86,4,2.4
623,1015.1,16.6,85,4,2.8
624,1015.8,16.5,87,5,1.5
625,1015.7,16.4,82,3,3.3
626,1016.2,16.7,80,3,3.8
627,1016.3,17.0,78,5,1.4
628,1016.6,16.8,78,4,1.7
629,1016.5,17.2,75,5,1.4
630,1015.9,16.8,75,4,3.5
631,1015.8,16.7,76,3,3.2
632,1015.3,16.5,75,4,3.0
633,1015.2,16.3,76,3,4.6
634,1015.5,16.4,76,4,4.3
635,1015.7,16.6,73,3,3.9
636,1016.6,16.3,71,3,4.7
637,1017.0,16.4,70,4,3.7
638,1017.4,16.6,68,3,3.4
639,1017.0,16.9,65,4,5.1
640,1017.4,16.2,67,5,4.2
641,1017.4,15.5,71,4,4.0
642,1017.5,15.7,67,4,2.7
643,1016.6,15.8,66,3,4.3
644,1016.6,16.2,62,4,3.6
645,1016.1,16.6,60,4,3.9
646,1016.2,16.6,60,4,3.8
647,1016.6,16.6,59,4,2.7
648,1016.0,16.6,85,6,2.5
649,1017.5,16.5,61,4,3.6
650,1018.1,16.7,61,3,3.6
651,1018.5,16.7,60,4,2.7
652,1018.6,16.8,62,3,3.4
653,1018.4,16.7,64,3,3.9
654,1017.6,16.7,64,4,2.1
655,1017.6,16.6,65,3,3.4
656,1017.8,16.7,66,3,2.8
657,1017.8,16.8,67,3,3.5
658,1018.1,16.6,70,5,1.7
659,1018.7,16.6,70,4,2.0
660,1019.5,16.7,69,3,3.4
661,1020.2,16.9,70,1,1.1
662,1020.7,16.6,73,5,2.0
663,1021.2,16.0,77,5,1.5
664,1021.1,15.6,80,7,1.8
665,1020.3,15.7,72,4,2.5
666,1019.1,16.6,69,2,2.1
667,1018.6,17.7,60,2,2.6
668,1017.9,18.1,58,3,3.7
669,1017.6,18.3,58,1,1.1
670,1017.1,18.6,59,1,3.2
671,1017.2,18.7,59,3,2.2
672,1016.7,16.6,59,4,3.3
673,1017.3,18.7,61,2,3.0
674,1017.2,18.9,61,2,2.5
675,1017.0,19.3,59,3,2.8
676,1017.2,19.3,61,3,2.4
677,1016.9,19.6,59,2,3.2
678,1016.3,19.7,64,1,4.0
679,1015.8,19.8,67,2,2.3
680,1015.2,19.8,67,2,1.6
681,1014.7,20.1,66,1,3.1
682,1015.1,20.3,67,1,2.4
683,1014.9,20.8,65,1,2.2
684,1015.7,21.0,66,1,2.2
685,1016.4,22.7,65,2,3.3
686,1016.9,20.8,69,1,2.5
687,1017.1,20.5,70,1,1.1
688,1016.7,20.0,76,5,0.6
689,1016.0,19.7,77,9,0.6
690,1015.4,19.8,78,8,0.9
691,1015.1,19.9,78,11,1.2
692,1014.6,19.8,79,10,1.1
693,1014.8,20.0,76,8,0.6
694,1014.9,20.3,74,7,1.1
695,1015.2,20.2,76,6,0.8
696,1017.4,18.6,61,3,2.2
697,1015.2,20.9,75,2,0.9
698,1015.0,20.8,77,5,0.9
699,1014.8,20.5,79,3,1.5
700,1014.4,20.3,81,5,2.0
701,1013.9,20.2,81,3,3.4
702,1013.3,20.1,82,4,2.8
703,1012.7,20.0,81,4,3.7
704,1012.6,20.4,80,4,3.5
705,1012.6,20.7,80,3,3.4
706,1013.0,20.8,80,3,4.4
707,1013.5,21.1,80,3,4.7
708,1014.4,21.7,80,4,4.0
709,1015.5,21.5,79,4,3.3
710,1015.9,21.7,82,3,3.3
711,1016.1,20.8,85,4,2.6
712,1015.7,20.3,86,5,2.8
713,1015.4,19.8,87,4,2.3
714,1015.1,19.5,87,4,1.6
715,1014.5,19.4,86,4,2.2
716,1014.2,19.7,84,3,3.8
717,1014.4,19.7,85,4,2.9
718,1014.5,19.4,86,4,2.6
719,1014.8,19.5,85,4,3.3
720,1015.1,20.4,74,1,1.2
721,1015.8,19.8,84,3,5.4
722,1015.7,20.0,86,3,3.7
723,1015.7,20.4,85,4,3.0
724,1015.5,20.4,84,4,3.2
725,1015.5,20.2,84,4,2.9
726,1015.0,20.0,85,3,3.7
727,1014.8,19.8,84,4,3.7
728,1014.9,20.0,82,4,2.7
729,1014.7,20.1,83,3,4.3
730,1014.7,20.0,83,4,4.2
731,1015.2,19.9,84,4,4.1
732,1016.4,19.8,84,3,4.9
